X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,RiskIndex
8,6,aug,sat,93.7,231.1,715.1,8.4,26.9,31,3.6,0,4.96,3.12387096774194
3,4,aug,sun,91.6,181.3,613,7.6,24.6,44,4,0,3.2,2.23636363636364
1,3,aug,sat,92.1,178,605.3,9.6,23.3,40,4,0,6.36,2.33
4,5,aug,wed,95.2,217.7,690,18,23.4,49,5.4,0,6.43,2.57877551020408
6,3,apr,sun,91,14.6,25.6,12.3,13.7,33,9.4,0,61.13,3.90242424242424
4,3,jun,thu,93,103.8,316.7,10.8,26.4,35,2.7,0,10.08,2.03657142857143
2,5,jun,thu,93.7,121.7,350.2,18,22.7,40,9.4,0,3.19,5.3345
4,3,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4,0,7.36,2.32
9,9,jul,thu,93.2,114.4,560,9.5,30.2,25,4.5,0,2.75,5.436
3,4,aug,sun,94.9,130.3,587.1,14.1,23.4,40,5.8,0,1.29,3.393
2,5,aug,sun,94.9,130.3,587.1,14.1,33.1,25,4,0,26.43,5.296
2,4,aug,mon,95,135.5,596.3,21.3,30.6,28,3.6,0,2.07,3.93428571428571
5,4,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0,2,3.53093023255814
5,4,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0,16.4,2.79529411764706
4,4,aug,tue,95.1,141.3,605.8,17.7,19.4,71,7.6,0,46.7,2.07661971830986
1,3,aug,fri,95.9,158,633.6,11.3,27.5,29,4.5,0,43.32,4.26724137931035
6,6,aug,sat,96,164,643,14,30.8,30,4.9,0,8.59,5.03066666666667
4,5,aug,mon,96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77,3.88692307692308
3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68,2.63185185185185
6,5,aug,tue,96.1,181.1,671.2,14.3,33.3,26,2.7,0,40.54,3.45807692307692
7,5,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,2.12333333333333
2,4,aug,wed,94.5,139.4,689.1,20,29.2,30,4.9,0,1.95,4.76933333333333
4,3,aug,wed,94.5,139.4,689.1,20,28.9,29,4.9,0,49.59,4.88310344827586
5,4,aug,fri,91,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17,2.25859154929577
4,3,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0,6.44,2.345625
7,4,aug,sun,81.6,56.7,665.6,1.9,21.2,70,6.7,0,11.16,2.02914285714286
